Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW,thermal_share_pct,hydro_share_pct,nuclear_share_pct,res_share_pct,coal_share_thermal_pct,lignite_share_thermal_pct,gas_share_thermal_pct,diesel_share_thermal_pct,non_fossil_capacity_mw,non_fossil_share_pct
Southern Region,Southern Region,State,5120.0,0.0,514.08,0.0,5634.08,0.0,2203.2,275.15,2478.35,8112.43,69.44996751898013,27.158323708186078,0.0,3.3917087728337867,90.87552892397694,0.0,9.124471076023061,0.0,2478.35,30.55003248101987
Southern Region,Southern Region,Private,5560.17,250.0,330.5,211.7,6352.37,0.0,0.0,26992.72,26992.72,33345.09,19.050390927120006,0.0,0.0,80.94960907288001,87.52906395565749,3.935539019295161,5.202782583508203,3.3326144415391417,26992.72,80.94960907288001
Southern Region,Southern Region,Central,3025.32,1666.57,0.0,0.0,4691.89,1448.0,0.0,380.56,380.56,6520.45,71.95653674209603,0.0,22.207056261454348,5.836406996449632,64.47977254368709,35.52022745631291,0.0,0.0,1828.56,28.043463257903976
Southern Region,Southern Region,Sub-Total,13705.49,1916.57,844.58,211.7,16678.34,1448.0,2203.2,27648.43,29851.63,47977.97,34.762496203986956,4.592107586044178,3.0180518267029637,57.6273443832659,82.1753843607937,11.491371443441013,5.063933221171892,1.2693109745933948,31299.63,65.23750379601304
Southern Region,Southern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,
Southern Region,Southern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,
Southern Region,Southern Region,Central,0.0,166.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,166.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Southern Region,Southern Region,Sub-Total,0.0,166.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,166.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Southern Region,Southern Region,State,0.0,0.0,32.5,0.0,32.5,0.0,0.0,0.0,0.0,32.5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Southern Region,Southern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.51,92.51,92.51,0.0,0.0,0.0,100.0,,,,,92.51,100.0
